r	delta	kon	koff	rp	rd	6	7	8	r/delta	KD	beta	approx-ratio	(max-min)	fold	avg_I_1	avg_I_2	avg_I_3	avg_I_4
20	0.82669	80.2597	3000	10000	36	1	0	-1	24.192865523956986	161.98449146956693	272.54218855943884	0.08632979206942089	0.9753299999999996	4.39642954008667	22.184593	23.044313	23.159923	22.769117
20	0.864758	67.2954	3000	10000	36	1	0	0	23.127857735921495	193.19098716999972	272.2617834084249	0.08212581485384834	0.8414399999999986	3.9706978879996413	21.191237	22.014126	22.032677	21.784802
20	0.061069	85.6673	3000	10000	36	1	1	0	327.4984034452832	151.75056373902294	278.3073643490713	1.1705956760764047	56.85826900000001	27.192893617712006	209.092382	247.275454	263.620702	265.950651
20	0.842574	69.4798	3000	10000	36	1	0	0	23.736787510651883	187.11686812569985	272.42511812556853	0.08438003310632679	0.7094840000000033	3.2534484809515276	21.807138	22.516622	22.421486	22.08614
20	0.689234	75.5976	3000	10000	36	1	0	0	29.01772112228938	171.97224824597606	273.5595197762919	0.10345515863723861	1.3517389999999985	5.104551159309923	26.481055	27.684916	27.832794	27.665775
20	0.371238	67.2704	3000	10000	36	1	1	0	53.87379524725378	193.2554472397964	275.94252463993666	0.1920430983417932	4.795460000000006	10.140241845780903	47.291377	51.398665	52.04105	52.086837
20	0.178932	72.0744	3000	10000	36	1	1	1	111.77430532269241	180.37165667698932	277.4039579720042	0.39916875570495625	16.10561399999999	17.7609648768998	90.679837	102.241501	105.820356	106.785451
20	0.057695	31.3077	3000	10000	36	1	1	1	346.6504896438166	415.2351560478732	278.3333126257793	1.2356933428470454	62.327811999999994	28.782177368865124	216.550024	255.492443	273.713371	278.877836
20	0.070169	14.2275	3000	10000	36	1	1	0	285.026151149368	913.7283548761203	278.23740357301904	1.0091451221665313	47.695310000000006	25.533858683016085	186.79241	219.693908	232.898688	234.48772
20	0.746408	71.0087	3000	10000	36	1	0	0	26.794996838190375	183.08666977426708	273.1354424628388	0.09536661560811355	1.095912000000002	4.47077700592663	24.512786	25.608698	25.471261	25.2538
20	0.305877	95.2711	3000	10000	36	1	1	1	65.385759635409	136.45592290841608	276.43750010501054	0.23391786581907756	7.570459	13.370563178306313	56.620345	62.349741	63.389214	64.190804
20	0.059968	46.6807	3000	10000	36	1	1	1	333.5112059765208	278.4889679889119	278.3158312286911	1.190470073321049	62.28116499999999	29.46742240327893	211.355999	250.43091	267.2389	273.637164
20	0.361956	77.7241	3000	10000	36	1	1	0	55.25533490258484	167.26294619043514	276.01270833725226	0.19731243546372432	4.905170999999996	10.070677472020806	48.707458	52.869896	53.550797	53.612629
20	0.721824	22.7529	3000	10000	36	1	0	-1	27.707585228532164	571.3874637518734	273.3176277953949	0.09394322448704907	0.867991	3.6342025043013195	24.028407	24.751938	24.598333	23.883947
20	0.456095	47.3307	3000	10000	36	1	0	0	43.850513599140534	274.6728042264323	275.30255489514167	0.1551865815344409	3.0130809999999997	7.768443491997054	38.786161	41.568457	41.799242	41.648982
20	0.592292	72.3897	3000	10000	36	1	0	0	33.76712837586866	179.5917415322898	274.28159711886866	0.12033895996183204	1.8592879999999994	6.062700657269075	30.667653	32.36665	32.526941	32.412713
20	0.686577	31.2224	3000	10000	36	1	-1	-1	29.13001746344547	416.3897258698883	273.57925971125627	0.10084006839846246	1.0876110000000025	4.220978977012868	25.766795	26.854406	26.592779	26.044361
20	0.621341	67.2343	3000	10000	36	1	0	-1	32.188444026709966	193.36293143529417	274.06482304948906	0.11452026374343288	1.7197130000000023	5.868076523070328	29.306247	30.810198	31.02596	30.514468
20	0.171472	16.3048	3000	10000	36	1	1	0	116.63711859662217	797.3217378931357	277.4609634907863	0.4088271772527616	14.712142999999998	15.970443026769008	92.12107	103.389071	106.680028	106.833213
20	0.463577	96.1757	3000	10000	36	1	1	0	43.142778869529764	135.17409883161756	275.24627046326253	0.1544235940516553	3.2005399999999966	8.215310575543262	38.958235	41.453296	42.158775	41.697681
20	0.326136	60.6004	3000	10000	36	1	1	-1	61.32411018716119	214.52541791803353	276.28388926364204	0.2184046187067527	5.680391	10.639507048628397	53.389607	58.064522	59.069998	58.421554
20	0.224716	76.3704	3000	10000	36	1	1	0	89.0012282169494	170.22596079109184	277.0546142031866	0.3178987245716985	11.162537	14.963985074913785	74.596018	83.4172	85.185644	85.758555
20	0.251933	53.0659	3000	10000	36	1	1	0	79.38618600977243	244.98316118260502	276.84735964286375	0.28258016562018906	8.732039999999998	12.97245838770997	67.312145	74.203336	76.044185	75.586206
20	0.638197	89.6358	3000	10000	36	1	0	0	31.338285827103544	145.0384578148463	273.9391951246946	0.11209565696629757	1.5502530000000014	5.408145053617722	28.665152	30.215405	30.055204	30.068813
20	0.864584	56.9855	3000	10000	36	1	0	0	23.132512283364022	228.14338005282042	272.2630637578875	0.08170408771021272	0.6592389999999995	3.1142021181840622	21.168793	21.828032	21.820063	21.553456
20	0.150603	19.1829	3000	10000	36	1	1	1	132.79947942604065	677.6947491255232	277.6205587220772	0.4680591665980675	19.007923000000005	18.434884568040143	103.108446	117.114644	120.958912	122.116369
20	0.254032	84.8681	3000	10000	36	1	1	0	78.73023871008378	153.18186729760654	276.83138890592915	0.28140349781964796	8.774816000000001	13.052649422835442	67.226321	74.255729	75.983683	76.001137
20	0.251225	82.3571	3000	10000	36	1	1	0	79.60991143397354	157.85222190922215	276.8527470450999	0.28448817970793727	9.383747	13.869174713820472	67.659015	74.960262	76.647691	77.042762
20	0.241867	93.28	3000	10000	36	1	1	0	82.69007347013027	139.36794454331047	276.9239748879383	0.2957342399970986	9.778616999999997	13.924827960976312	70.224329	77.739775	79.728091	80.002946
